id,po_header_id,line_num,item_number,description,quantity,uom,unit_price,line_total,need_by_date,x_confirmed_date,status
90112-2,90112,2,SKU-STL-014,Steel Rebar 12mm,363,TON,1007.62,246617.47,30/07/2026,,received
90112-3,90112,3,SKU-AGG-220,Crushed Aggregate 20mm,370,TON,2205.83,671561.34,Aug 4 2026,,issued
90113-1,90113,1,SKU-PL-220,HDPE Pellets,74,KG,2874.06,201286.06,26/07/2026,,received
90113-2,90113,2,SKU-AGG-220,Crushed Aggregate 20mm,214,TON,3541.16,265093.47,Aug 12 2026,,received
90114-1,90114,1,SKU-CH-012,Industrial Solvent,47,LTR,3020.43,32870.64,2026-08-15 00:00:00,,backordered
90114-2,90114,2,SKU-CH-012,Industrial Solvent,137,LTR,3201.42,203991.99,Aug 18 2026,,issued
90114-3,90114,3,SKU-TX-330,Cotton Fabric Roll,201,MTR,2010.08,211163.11,13/09/2026,,issued
90115-1,90115,1,SKU-STL-014,Steel Rebar 12mm,450,TON,2427.64,908060.92,27/08/2026,,backordered
90115-2,90115,2,SKU-RM-330,Raw Gypsum,91,TON,1348.73,40607.66,Aug 21 2026,,received
90115-3,90115,3,SKU-WR-410,Copper Wire 2.5mm,369,MTR,1817.22,496527.72,20/09/2026,,received
90116-1,90116,1,SKU-CH-012,Industrial Solvent,664,LTR,3911.51,2468702.92,Jul 28 2026,,backordered
90116-2,90116,2,SKU-MT-101,Aluminium Ingot,41,TON,621.12,15972.08,Sep 12 2026,,issued
90116-3,90116,3,SKU-PL-220,HDPE Pellets,78,KG,987.46,51058.17,Aug 16 2026,,received
90117-1,90117,1,SKU-PL-220,HDPE Pellets,705,KG,1828.2,518666.7,2026-08-21 00:00:00,,received
90118-1,90118,1,SKU-RB-201,Rubber Gasket,417,EA,1295.53,170042.14,2026-07-31 00:00:00,,received
90118-2,90118,2,SKU-CE-500,Ceramic Tile,540,M2,1580.86,498189.22,09/08/2026,,issued
90119-1,90119,1,SKU-PK-770,Corrugated Carton,720,EA,3661.76,1362104.9,2026-07-31 00:00:00,,issued
90119-2,90119,2,SKU-WR-410,Copper Wire 2.5mm,186,MTR,3591.81,315903.81,29/07/2026,,backordered
90120-1,90120,1,SKU-PK-770,Corrugated Carton,317,EA,3405.85,784065.2,2026-09-06 00:00:00,,backordered
90121-1,90121,1,SKU-FS-055,Hex Bolt M12,134,EA,3931.57,422761.57,Aug 8 2026,,issued
90121-2,90121,2,SKU-RB-201,Rubber Gasket,577,EA,2309.05,658214.35,2026-08-28 00:00:00,,received
90121-3,90121,3,SKU-STL-014,Steel Rebar 12mm,77,TON,1275.51,98176.49,Sep 8 2026,,received
90122-1,90122,1,SKU-CP-330,Cast Part 330,598,EA,349.84,203714.95,2026-09-03 00:00:00,,issued
90122-2,90122,2,SKU-WR-410,Copper Wire 2.5mm,706,MTR,2093.22,254062.53,2026-09-15 00:00:00,,received
90122-3,90122,3,SKU-CP-330,Cast Part 330,524,EA,3639.1,195727.23,2026-07-31 00:00:00,,backordered
90123-1,90123,1,SKU-MT-101,Aluminium Ingot,340,TON,3733.52,335370.54,26/08/2026,,issued
90123-2,90123,2,SKU-CH-012,Industrial Solvent,211,LTR,2555.77,309161.69,01/08/2026,,received
90124-1,90124,1,SKU-STL-014,Steel Rebar 12mm,524,TON,2579.08,827374.65,2026-08-30 00:00:00,,received
90124-2,90124,2,SKU-TX-330,Cotton Fabric Roll,587,MTR,221.89,113394.13,2026-07-29 00:00:00,,received
90124-3,90124,3,SKU-CH-012,Industrial Solvent,676,LTR,888.48,356481.73,2026-09-01 00:00:00,,issued
90125-1,90125,1,SKU-PK-770,Corrugated Carton,667,EA,3819.64,1296263.53,Sep 13 2026,,backordered
90125-2,90125,2,SKU-WR-410,Copper Wire 2.5mm,84,MTR,2766.25,46513.99,Aug 19 2026,,issued
90125-3,90125,3,SKU-EL-440,Circuit Board Assy,358,EA,2444.17,303588.66,07/09/2026,,backordered
90126-1,90126,1,SKU-PL-220,HDPE Pellets,788,KG,1516.22,697236.95,2026-08-13 00:00:00,,issued
90126-2,90126,2,SKU-RM-330,Raw Gypsum,283,TON,1826.91,95044.91,27/07/2026,,issued
90126-3,90126,3,SKU-CP-330,Cast Part 330,264,EA,3843.36,920483.01,14/09/2026,,received
90127-1,90127,1,SKU-EL-440,Circuit Board Assy,791,EA,686.22,540721.61,Aug 22 2026,,backordered
90127-2,90127,2,SKU-CE-500,Ceramic Tile,33,M2,413.89,5785.41,2026-08-22 00:00:00,,received
90128-1,90128,1,SKU-RB-201,Rubber Gasket,59,EA,258.62,7936.74,Sep 18 2026,,backordered
90128-2,90128,2,SKU-CEM-101,Portland Cement Type I,120,TON,1753.55,186928.35,08/09/2026,,issued
90128-3,90128,3,SKU-RB-201,Rubber Gasket,56,EA,1634.29,54158.71,05/08/2026,,received
90129-1,90129,1,SKU-STL-014,Steel Rebar 12mm,405,TON,2041.72,641823.84,2026-08-10 00:00:00,,received
90129-2,90129,2,SKU-RM-330,Raw Gypsum,413,TON,1526.67,622600.67,28/08/2026,,received
90130-1,90130,1,SKU-TC-090,Timber Panel,522,M3,218.2,9905.72,07/09/2026,,issued
90130-2,90130,2,SKU-WR-410,Copper Wire 2.5mm,162,MTR,2442.6,213571.98,13/08/2026,,received
90131-1,90131,1,SKU-PK-770,Corrugated Carton,617,EA,1381.95,713572.4,Aug 27 2026,,received
90131-2,90131,2,SKU-PK-770,Corrugated Carton,496,EA,3265.89,647855.25,2026-09-05 00:00:00,,issued
90131-3,90131,3,SKU-PK-770,Corrugated Carton,752,EA,3487.35,1698840.54,Aug 31 2026,,backordered
90132-1,90132,1,SKU-FS-055,Hex Bolt M12,748,EA,261.83,99183.01,Aug 26 2026,,received
90132-2,90132,2,SKU-FS-055,Hex Bolt M12,42,EA,2310.2,69423.32,2026-08-05 00:00:00,,issued
90132-3,90132,3,SKU-TX-330,Cotton Fabric Roll,438,MTR,655.12,202574.34,Aug 19 2026,,issued
90133-1,90133,1,SKU-EL-440,Circuit Board Assy,584,EA,1337.44,530433.29,Aug 26 2026,,backordered
90133-2,90133,2,SKU-MT-101,Aluminium Ingot,480,TON,3644.65,656405.55,15/08/2026,,received
90134-1,90134,1,SKU-EL-440,Circuit Board Assy,262,EA,1156.5,101073.98,12/08/2026,,received
90134-2,90134,2,SKU-CE-500,Ceramic Tile,334,M2,1945.63,378508.14,12/09/2026,,backordered
90134-3,90134,3,SKU-RM-330,Raw Gypsum,597,TON,2719.13,666713.16,18/08/2026,,received
90135-1,90135,1,SKU-AGG-220,Crushed Aggregate 20mm,304,TON,3814.38,145036.85,21/08/2026,,issued
90135-2,90135,2,SKU-EL-440,Circuit Board Assy,216,EA,3313.85,220160.38,28/08/2026,,received
90136-1,90136,1,SKU-FS-055,Hex Bolt M12,258,EA,259.51,60922.74,2026-08-07 00:00:00,,issued
90137-1,90137,1,SKU-CP-330,Cast Part 330,348,EA,2879.22,145804.12,2026-09-11 00:00:00,,issued
90138-1,90138,1,SKU-MT-101,Aluminium Ingot,426,TON,2625.87,991785.92,Aug 23 2026,,received
90138-2,90138,2,SKU-PK-770,Corrugated Carton,338,EA,1181.68,42418.89,2026-09-11 00:00:00,,received
90138-3,90138,3,SKU-FS-055,Hex Bolt M12,557,EA,2963.04,1415751.66,2026-07-26 00:00:00,,issued
90139-1,90139,1,SKU-AGG-220,Crushed Aggregate 20mm,416,TON,3156.69,298087.36,09/09/2026,,issued
90139-2,90139,2,SKU-CEM-101,Portland Cement Type I,315,TON,2292.09,109698.81,14/08/2026,,issued
90140-1,90140,1,SKU-CE-500,Ceramic Tile,147,M2,3404.66,247549.77,2026-08-05 00:00:00,,backordered
90140-2,90140,2,SKU-MT-101,Aluminium Ingot,758,TON,1863.53,415858.72,2026-08-04 00:00:00,,backordered
90140-3,90140,3,SKU-PK-770,Corrugated Carton,591,EA,2710.4,374036.3,Sep 1 2026,,issued
90141-1,90141,1,SKU-TX-330,Cotton Fabric Roll,98,MTR,1635.27,22534.6,Aug 1 2026,,backordered
90141-2,90141,2,SKU-FS-055,Hex Bolt M12,16,EA,1084.89,4751.73,10/09/2026,,backordered
90141-3,90141,3,SKU-PK-770,Corrugated Carton,606,EA,2900.93,106996.6,03/09/2026,,received
90142-1,90142,1,SKU-RM-330,Raw Gypsum,486,TON,1265.75,267681.89,25/08/2026,,issued
90143-1,90143,1,SKU-RB-201,Rubber Gasket,639,EA,927.94,568934.6,2026-08-23 00:00:00,,issued
90143-2,90143,2,SKU-RB-201,Rubber Gasket,435,EA,2818.63,1124529.97,2026-09-10 00:00:00,,received
90144-1,90144,1,SKU-STL-014,Steel Rebar 12mm,548,TON,1815.72,714995.39,2026-07-28 00:00:00,,issued
90144-2,90144,2,SKU-EL-440,Circuit Board Assy,596,EA,2169.07,266710.88,Sep 16 2026,,issued
90144-3,90144,3,SKU-EL-440,Circuit Board Assy,744,EA,2351.77,238651.87,Aug 25 2026,,issued
90145-1,90145,1,SKU-PL-220,HDPE Pellets,535,KG,1692.62,530395.78,Aug 28 2026,,backordered
90145-2,90145,2,SKU-CEM-101,Portland Cement Type I,415,TON,1060.02,23255.62,2026-08-06 00:00:00,,issued
90145-3,90145,3,SKU-CP-330,Cast Part 330,362,EA,2812.51,574331.78,2026-07-27 00:00:00,,issued
90146-1,90146,1,SKU-PK-770,Corrugated Carton,428,EA,767.33,58674.18,Sep 3 2026,,backordered
90147-1,90147,1,SKU-WR-410,Copper Wire 2.5mm,396,MTR,1536.29,425004.12,2026-09-04 00:00:00,,backordered
90147-2,90147,2,SKU-RM-330,Raw Gypsum,192,TON,3961.89,322077.47,2026-08-01 00:00:00,,issued
90147-3,90147,3,SKU-CEM-101,Portland Cement Type I,315,TON,1879.61,434075.01,Aug 20 2026,,received
90148-1,90148,1,SKU-WR-410,Copper Wire 2.5mm,364,MTR,669.63,55831.43,2026-09-18 00:00:00,,issued
90148-2,90148,2,SKU-CP-330,Cast Part 330,639,EA,3070.59,1745429.16,2026-07-25 00:00:00,,received
90149-1,90149,1,SKU-RM-330,Raw Gypsum,618,TON,191.95,73297.93,2026-09-07 00:00:00,,received
90150-1,90150,1,SKU-TC-090,Timber Panel,459,M3,980.95,115448.24,2026-09-17 00:00:00,,received
90151-1,90151,1,SKU-PK-770,Corrugated Carton,249,EA,3266.04,605819.26,13/08/2026,,received
90151-2,90151,2,SKU-PK-770,Corrugated Carton,156,EA,3933.78,334565.65,19/08/2026,,backordered
90151-3,90151,3,SKU-AGG-220,Crushed Aggregate 20mm,580,TON,3787.68,1945815.89,2026-09-20 00:00:00,,issued
90152-1,90152,1,SKU-CE-500,Ceramic Tile,58,M2,3881.1,212612.13,Sep 4 2026,,received
90152-2,90152,2,SKU-TX-330,Cotton Fabric Roll,723,MTR,1696.16,235155.82,2026-08-17 00:00:00,,received
90152-3,90152,3,SKU-CE-500,Ceramic Tile,256,M2,3397.91,292013.32,2026-09-07 00:00:00,,issued
90153-1,90153,1,SKU-CP-330,Cast Part 330,436,EA,2250.14,174028.57,08/08/2026,,received
90154-1,90154,1,SKU-STL-014,Steel Rebar 12mm,470,TON,3389.23,219571.86,2026-09-08 00:00:00,,issued
90154-2,90154,2,SKU-CH-012,Industrial Solvent,396,LTR,2707.53,667729.08,2026-09-17 00:00:00,,received
90155-1,90155,1,SKU-EL-440,Circuit Board Assy,500,EA,880.93,401563.65,2026-08-12 00:00:00,,received
90155-2,90155,2,SKU-EL-440,Circuit Board Assy,769,EA,521.05,400524.53,2026-08-23 00:00:00,,received
90155-3,90155,3,SKU-EL-440,Circuit Board Assy,416,EA,3656.45,873824.77,11/09/2026,,issued
90156-1,90156,1,SKU-RB-201,Rubber Gasket,325,EA,1087.94,189934.86,Aug 24 2026,,issued
90156-2,90156,2,SKU-CE-500,Ceramic Tile,789,M2,3360.14,2435383.86,16/08/2026,,issued
90156-3,90156,3,SKU-AGG-220,Crushed Aggregate 20mm,586,TON,3455.85,1527330.88,25/07/2026,,received
90157-1,90157,1,SKU-CP-330,Cast Part 330,312,EA,658.98,74709.93,2026-08-17 00:00:00,,issued
90157-2,90157,2,SKU-TX-330,Cotton Fabric Roll,273,MTR,3060.01,429545.48,Sep 8 2026,,issued
90157-3,90157,3,SKU-MT-101,Aluminium Ingot,760,TON,3184.25,510148.19,Sep 8 2026,,received
90158-1,90158,1,SKU-AGG-220,Crushed Aggregate 20mm,546,TON,192.93,89998.36,2026-09-14 00:00:00,,issued
90158-2,90158,2,SKU-CP-330,Cast Part 330,150,EA,3371.2,136463.68,2026-09-07 00:00:00,,issued
90158-3,90158,3,SKU-EL-440,Circuit Board Assy,527,EA,1852.12,104856.57,Sep 2 2026,,issued
90159-1,90159,1,SKU-CEM-101,Portland Cement Type I,554,TON,2227.96,75610.65,26/08/2026,,received
90160-1,90160,1,SKU-CEM-101,Portland Cement Type I,524,TON,3255.71,1177699.71,2026-09-13 00:00:00,,issued
90160-2,90160,2,SKU-RM-330,Raw Gypsum,546,TON,645.17,81843.14,26/08/2026,,backordered
90161-1,90161,1,SKU-TC-090,Timber Panel,90,M3,1526.09,59846.14,2026-08-29 00:00:00,,received
90161-2,90161,2,SKU-PK-770,Corrugated Carton,710,EA,3314.28,297874.6,2026-09-16 00:00:00,,issued
90162-1,90162,1,SKU-TC-090,Timber Panel,396,M3,2232.12,91317.01,2026-07-24 00:00:00,,issued
90162-2,90162,2,SKU-CE-500,Ceramic Tile,454,M2,2594.49,429587.92,2026-09-16 00:00:00,,received
90162-3,90162,3,SKU-AGG-220,Crushed Aggregate 20mm,245,TON,890.87,190917.19,Sep 18 2026,,backordered
90163-1,90163,1,SKU-STL-014,Steel Rebar 12mm,710,TON,3697.55,2374144.01,2026-08-29 00:00:00,,received
90164-1,90164,1,SKU-CEM-101,Portland Cement Type I,222,TON,2367.05,401807.84,Sep 7 2026,,issued
90164-2,90164,2,SKU-PK-770,Corrugated Carton,176,EA,2276.36,235720.62,Sep 16 2026,,received
90165-1,90165,1,SKU-TC-090,Timber Panel,783,M3,2967.2,1860915.09,2026-09-06 00:00:00,,received
90165-2,90165,2,SKU-RB-201,Rubber Gasket,64,EA,443.91,7686.02,28/07/2026,,received
90166-1,90166,1,SKU-TC-090,Timber Panel,344,M3,176.43,18793.9,Aug 21 2026,,received
90166-2,90166,2,SKU-RB-201,Rubber Gasket,576,EA,3758.69,996455.77,Sep 5 2026,,issued
90166-3,90166,3,SKU-PK-770,Corrugated Carton,262,EA,2862.52,95949.55,Aug 2 2026,,received
90167-1,90167,1,SKU-TX-330,Cotton Fabric Roll,379,MTR,478.75,9967.83,Aug 12 2026,,backordered
90167-2,90167,2,SKU-CH-012,Industrial Solvent,114,LTR,580.75,15096.32,Aug 21 2026,,issued
90167-3,90167,3,SKU-CEM-101,Portland Cement Type I,101,TON,1450.88,20282.6,31/08/2026,,issued
90168-1,90168,1,SKU-PK-770,Corrugated Carton,433,EA,1584.05,89484.8,2026-09-19 00:00:00,,received
90169-1,90169,1,SKU-MT-101,Aluminium Ingot,711,TON,1556.28,201272.94,12/08/2026,,issued
90169-2,90169,2,SKU-PL-220,HDPE Pellets,74,KG,717.13,16565.79,Aug 12 2026,,issued
90169-3,90169,3,SKU-RB-201,Rubber Gasket,267,EA,3770.79,739852.17,2026-08-24 00:00:00,,issued
90170-1,90170,1,SKU-PL-220,HDPE Pellets,321,KG,86.6,11839.63,Sep 15 2026,,backordered
90171-1,90171,1,SKU-TX-330,Cotton Fabric Roll,450,MTR,3264.82,1273083.49,2026-08-31 00:00:00,,backordered
90171-2,90171,2,SKU-TX-330,Cotton Fabric Roll,627,MTR,3782.81,571155.85,2026-08-13 00:00:00,,issued
90171-3,90171,3,SKU-TX-330,Cotton Fabric Roll,308,MTR,2948.06,591343.28,2026-08-29 00:00:00,,backordered
90172-1,90172,1,SKU-CH-012,Industrial Solvent,412,LTR,1494.51,576000.72,2026-08-05 00:00:00,,received
90172-2,90172,2,SKU-CEM-101,Portland Cement Type I,754,TON,1874.18,1021621.74,21/08/2026,,issued
90172-3,90172,3,SKU-CP-330,Cast Part 330,699,EA,2022.26,921173.4,08/08/2026,,received
90173-1,90173,1,SKU-TC-090,Timber Panel,85,M3,1824.83,95864.08,Aug 30 2026,,received
90173-2,90173,2,SKU-CP-330,Cast Part 330,566,EA,204.49,112269.87,2026-09-06 00:00:00,,issued
90173-3,90173,3,SKU-FS-055,Hex Bolt M12,683,EA,2672.25,379669.89,2026-09-01 00:00:00,,received
90174-1,90174,1,SKU-TX-330,Cotton Fabric Roll,450,MTR,476.36,30798.72,2026-08-07 00:00:00,,issued
90174-2,90174,2,SKU-RB-201,Rubber Gasket,410,EA,1879.84,536105.67,2026-09-06 00:00:00,,backordered
90174-3,90174,3,SKU-CEM-101,Portland Cement Type I,504,TON,470.88,105650.89,2026-07-29 00:00:00,,received
90175-1,90175,1,SKU-PK-770,Corrugated Carton,361,EA,1849.46,164592.97,23/08/2026,,issued
90175-2,90175,2,SKU-RM-330,Raw Gypsum,458,TON,2897.44,636740.76,28/07/2026,,issued
90176-1,90176,1,SKU-CEM-101,Portland Cement Type I,361,TON,2606.52,652346.62,2026-08-03 00:00:00,,received
90177-1,90177,1,SKU-MT-101,Aluminium Ingot,348,TON,2260.21,755515.29,Aug 7 2026,,received
90177-2,90177,2,SKU-MT-101,Aluminium Ingot,665,TON,2643.22,748451.97,2026-09-09 00:00:00,,issued
90178-1,90178,1,SKU-CP-330,Cast Part 330,408,EA,77.49,8032.22,2026-08-10 00:00:00,,received
90178-2,90178,2,SKU-RM-330,Raw Gypsum,559,TON,794.75,159795.84,2026-08-22 00:00:00,,backordered
90178-3,90178,3,SKU-CE-500,Ceramic Tile,550,M2,3856.05,737483.63,Aug 17 2026,,received
90179-1,90179,1,SKU-RB-201,Rubber Gasket,370,EA,3382.88,796678.33,14/09/2026,,received
90180-1,90180,1,SKU-STL-014,Steel Rebar 12mm,698,TON,586.41,66296.03,2026-08-12 00:00:00,,received
90180-2,90180,2,SKU-RB-201,Rubber Gasket,720,EA,615.54,185713.88,2026-08-31 00:00:00,,received
90180-3,90180,3,SKU-TC-090,Timber Panel,443,M3,790.01,228787.58,2026-09-06 00:00:00,,received
90181-1,90181,1,SKU-CE-500,Ceramic Tile,305,M2,611.37,65049.5,2026-08-21 00:00:00,,backordered
90181-2,90181,2,SKU-CEM-101,Portland Cement Type I,506,TON,596.58,248877.85,Aug 28 2026,,issued
90182-1,90182,1,SKU-CP-330,Cast Part 330,737,EA,3360.77,1273775.4,2026-07-29 00:00:00,,received
90182-2,90182,2,SKU-PK-770,Corrugated Carton,43,EA,1140.17,27490.99,Aug 3 2026,,received
90182-3,90182,3,SKU-CE-500,Ceramic Tile,572,M2,2067.47,702552.8,10/08/2026,,received
90183-1,90183,1,SKU-WR-410,Copper Wire 2.5mm,569,MTR,918.87,237314.13,2026-09-09 00:00:00,,backordered
90184-1,90184,1,SKU-WR-410,Copper Wire 2.5mm,279,MTR,1429.91,329485.46,2026-08-21 00:00:00,,received
90185-1,90185,1,SKU-RB-201,Rubber Gasket,737,EA,2458.33,827550.5,2026-09-01 00:00:00,,received
90185-2,90185,2,SKU-EL-440,Circuit Board Assy,70,EA,2300.39,89477.52,2026-08-31 00:00:00,,backordered
90186-1,90186,1,SKU-PK-770,Corrugated Carton,596,EA,1110.66,572666.44,2026-09-19 00:00:00,,received
90186-2,90186,2,SKU-CP-330,Cast Part 330,70,EA,3960.47,242217.06,2026-08-01 00:00:00,,received
90187-1,90187,1,SKU-TX-330,Cotton Fabric Roll,263,MTR,3052.59,555898.63,2026-08-24 00:00:00,,received
90187-2,90187,2,SKU-CH-012,Industrial Solvent,652,LTR,1687.9,527576.22,2026-09-02 00:00:00,,issued
90188-1,90188,1,SKU-CH-012,Industrial Solvent,721,LTR,3739.8,1080223.66,24/08/2026,,received
90188-2,90188,2,SKU-CEM-101,Portland Cement Type I,760,TON,426.05,315231.2,02/09/2026,,issued
90188-3,90188,3,SKU-TC-090,Timber Panel,233,M3,3864.75,750650.5,24/08/2026,,backordered
90189-1,90189,1,SKU-TX-330,Cotton Fabric Roll,570,MTR,2331.28,781132.56,24/08/2026,,issued
90189-2,90189,2,SKU-AGG-220,Crushed Aggregate 20mm,111,TON,2520.89,236409.68,2026-07-25 00:00:00,,received
90190-1,90190,1,SKU-WR-410,Copper Wire 2.5mm,10,MTR,3957.92,18064.32,2026-09-06 00:00:00,,backordered
90190-2,90190,2,SKU-MT-101,Aluminium Ingot,290,TON,426.83,48573.23,29/07/2026,,received
90190-3,90190,3,SKU-AGG-220,Crushed Aggregate 20mm,415,TON,2518.62,773143.08,2026-09-10 00:00:00,,issued
90191-1,90191,1,SKU-RM-330,Raw Gypsum,11,TON,898.75,1226.31,2026-08-30 00:00:00,,received
90192-1,90192,1,SKU-CEM-101,Portland Cement Type I,18,TON,2793.7,41549.48,Sep 17 2026,,received
90192-2,90192,2,SKU-CE-500,Ceramic Tile,82,M2,959.76,10613.88,2026-09-13 00:00:00,,issued
90192-3,90192,3,SKU-TX-330,Cotton Fabric Roll,386,MTR,3522.29,245099.65,2026-09-11 00:00:00,,received
90193-1,90193,1,SKU-CEM-101,Portland Cement Type I,634,TON,2614.58,775933.82,2026-09-08 00:00:00,,received
90194-1,90194,1,SKU-WR-410,Copper Wire 2.5mm,232,MTR,400.68,13519.95,2026-09-10 00:00:00,,received
90194-2,90194,2,SKU-TC-090,Timber Panel,369,M3,3845.57,494922.02,2026-08-01 00:00:00,,backordered
90194-3,90194,3,SKU-STL-014,Steel Rebar 12mm,264,TON,2234.85,365804.66,31/08/2026,,issued
90195-1,90195,1,SKU-EL-440,Circuit Board Assy,540,EA,2445.22,302658.74,18/08/2026,,issued
90195-2,90195,2,SKU-FS-055,Hex Bolt M12,516,EA,1576.53,226986.07,2026-09-02 00:00:00,,received
90196-1,90196,1,SKU-RB-201,Rubber Gasket,334,EA,578.69,167725.36,Aug 29 2026,,backordered
90197-1,90197,1,SKU-MT-101,Aluminium Ingot,791,TON,1911.09,1493529.03,2026-07-28 00:00:00,,received
90197-2,90197,2,SKU-STL-014,Steel Rebar 12mm,24,TON,1090.39,2298.6,Jul 27 2026,,received
90197-3,90197,3,SKU-PK-770,Corrugated Carton,653,EA,2860.63,1454706.7,Aug 20 2026,,issued
90198-1,90198,1,SKU-PL-220,HDPE Pellets,294,KG,388.54,14286.9,2026-09-20 00:00:00,,received
90198-2,90198,2,SKU-TX-330,Cotton Fabric Roll,410,MTR,2364.7,751444.43,2026-09-03 00:00:00,,backordered
90198-3,90198,3,SKU-CP-330,Cast Part 330,757,EA,3806.97,797431.07,2026-08-08 00:00:00,,issued
90199-1,90199,1,SKU-WR-410,Copper Wire 2.5mm,636,MTR,2452.71,536341.59,2026-09-09 00:00:00,,issued
90200-1,90200,1,SKU-PL-220,HDPE Pellets,728,KG,104.61,39722.42,15/08/2026,,received
90201-1,90201,1,SKU-PL-220,HDPE Pellets,777,KG,3129.82,742513.82,2026-09-18 00:00:00,,issued
90201-2,90201,2,SKU-TX-330,Cotton Fabric Roll,449,MTR,1128.88,56099.24,2026-09-07 00:00:00,,issued
90202-1,90202,1,SKU-RB-201,Rubber Gasket,66,EA,2023.47,78599.18,2026-08-16 00:00:00,,backordered
90202-2,90202,2,SKU-RM-330,Raw Gypsum,597,TON,2709.29,258090.9,2026-09-09 00:00:00,,issued
90202-3,90202,3,SKU-CEM-101,Portland Cement Type I,260,TON,240.71,24769.59,2026-09-20 00:00:00,,received
90203-1,90203,1,SKU-CP-330,Cast Part 330,239,EA,1324.68,141026.84,08/09/2026,,backordered
90204-1,90204,1,SKU-RB-201,Rubber Gasket,132,EA,2033.02,243359.41,2026-08-04 00:00:00,,received
90205-1,90205,1,SKU-TC-090,Timber Panel,80,M3,3506.58,244823.98,11/09/2026,,backordered
90206-1,90206,1,SKU-WR-410,Copper Wire 2.5mm,18,MTR,1509.85,8887.39,12/09/2026,,received
90207-1,90207,1,SKU-WR-410,Copper Wire 2.5mm,387,MTR,2385.35,478820.97,2026-09-11 00:00:00,,received
90207-2,90207,2,SKU-FS-055,Hex Bolt M12,164,EA,85.07,6132.15,07/08/2026,,issued
90208-1,90208,1,SKU-CEM-101,Portland Cement Type I,787,TON,2643.2,1781805.77,08/09/2026,,issued
90208-2,90208,2,SKU-EL-440,Circuit Board Assy,552,EA,3923.64,972087.41,2026-07-27 00:00:00,,backordered
90209-1,90209,1,SKU-AGG-220,Crushed Aggregate 20mm,247,TON,3586.34,481686.71,06/09/2026,,issued
