id,po_number,supplier_id,status,po_total,currency,ship_to_location,need_by_date,created_at,updated_at
90194,4500194,3023,issued,161021.11,MYR,CN01,Sep 17 2026,2026-07-20T00:00:00+08:00,2026-06-29T00:00:00+08:00
90195,4500195,3013,soft_closed,192650.33,MYR,MY02,17/09/2026,2026-03-30T00:00:00+08:00,2026-07-22T00:00:00+08:00
90196,4500196,3031,closed,28976.21,MYR,MY01,09/08/2026,2026-06-13T00:00:00+08:00,2026-07-20T00:00:00+08:00
90197,4500197,3049,soft_closed,164548.96,MYR,IN01,30/08/2026,2026-04-01T00:00:00+08:00,2026-07-18T00:00:00+08:00
90198,4500198,3018,closed,176541.56,MYR,SG01,25/07/2026,2026-07-14T00:00:00+08:00,2026-07-16T00:00:00+08:00
90199,4500199,3018,soft_closed,181421.2,MYR,CN01,28/07/2026,2026-06-10T00:00:00+08:00,2026-07-10T00:00:00+08:00
90200,4500200,3011,issued,64046.73,MYR,MY02,Jul 26 2026,2026-04-02T00:00:00+08:00,2026-06-30T00:00:00+08:00
90201,4500201,3019,soft_closed,93006.89,MYR,TH01,Aug 1 2026,2026-06-02T00:00:00+08:00,2026-07-20T00:00:00+08:00
90202,4500202,3052,soft_closed,132054.85,MYR,MY02,Sep 18 2026,2026-06-05T00:00:00+08:00,2026-07-10T00:00:00+08:00
90203,4500203,3072,issued,47150.32,MYR,IN01,Jul 26 2026,2026-07-18T00:00:00+08:00,2026-07-04T00:00:00+08:00
90204,4500204,3062,issued,110626.38,MYR,IN01,30/07/2026,2026-03-26T00:00:00+08:00,2026-07-09T00:00:00+08:00
90205,4500205,3021,soft_closed,22784.64,MYR,MY02,2026-07-31 00:00:00,2026-06-09T00:00:00+08:00,2026-07-17T00:00:00+08:00
90206,4500206,3044,issued,52252.37,MYR,MY01,2026-07-27 00:00:00,2026-06-27T00:00:00+08:00,2026-07-15T00:00:00+08:00
90207,4500207,3017,closed,45188.53,MYR,MY01,2026-09-15 00:00:00,2026-07-01T00:00:00+08:00,2026-07-24T00:00:00+08:00
90208,4500208,3018,issued,157996.89,MYR,IN01,2026-09-11 00:00:00,2026-04-23T00:00:00+08:00,2026-07-24T00:00:00+08:00
90209,4500209,3013,issued,159911.68,MYR,MY02,2026-08-27 00:00:00,2026-06-11T00:00:00+08:00,2026-07-24T00:00:00+08:00
